name,type,cell_id,google_id,status,search,source,geometry,neighborhood,x,y,id
Boston Food Forest Coalition - Food Forest Park at the Boston Nature Center,Parks,Cell 57,ChIJbewY_Vd544kRcnolTeNYh70,checked,park,google_api,"c(-71.103067, 42.288144)",Mattapan,-71.103067,42.288144,196
Boston Hair Creativity,Social Businesses,Cell 33,NA,new,NA,humancoding_fall,"c(-71.1341069, 42.2810495)",Roslindale,-71.1341069,42.2810495,197
Boston Hair Design,Social Businesses,Cell 162,NA,new,NA,humancoding_fall,"c(-71.0594041, 42.3535996)",Downtown,-71.0594041,42.3535996,198
Boston Harbor Community Church,Places of Worship,Cell 183,ChIJ0Tz_MYpw44kRZIZVItV2ff0,"checked, visited",place of worship,google_api,"c(-71.052521, 42.365964)",North End,-71.052521,42.365964,199
Boston Harborwalk,Parks,Cell 129,ChIJ6aWILe1644kRuxV8cxcFzkg,checked,park,google_api,"c(-71.035642, 42.329263)",South Boston,-71.035642,42.329263,200
Boston Islamic Center,Places of Worship,Cell 96,NA,new,NA,humancoding_fall,"c(-71.0933659, 42.3205075)",Roxbury,-71.0933659,42.3205075,202
Boston Mega Praise,Places of Worship,Cell 30,ChIJT1Wwj0B_44kRr6r3msBIcAQ,checked,place of worship,google_api,"c(-71.170429, 42.27944)",West Roxbury,-71.170429,42.27944,204
Boston Missionary Baptist Church,Places of Worship,Cell 109,NA,new,NA,humancoding_fall,"c(-71.0766287, 42.3273876)",Roxbury,-71.0766287,42.3273876,205
Boston National Historical Park,Parks,Cell 194,ChIJm1PrHPJw44kRDcBCdZT3MUM,checked,park,google_api,"c(-71.056834, 42.373162)",Charlestown,-71.056834,42.373162,206
Boston Perfect Eyebrows LLC,Social Businesses,Cell 157,NA,new,NA,humancoding_fall,"c(-71.1349784, 42.3629619)",Allston,-71.1349784,42.3629619,207
Boston Public Library,Social Businesses,Cell 68,NA,new,NA,humancoding_fall,"c(-71.0863472, 42.295581)",Dorchester,-71.0863472,42.295581,208
Boston Public Library - Central Library,Community Spaces,Cell 144,ChIJU_ibQgx644kRc6zBW_5d1Lk,checked,library,google_api,"c(-71.078188, 42.349314)",Back Bay,-71.078188,42.349314,209
Boston Public School Administration Lib,Community Spaces,Cell 88,ChIJqVEtha5744kRyK9mrYPxG1A,checked,library,google_api,"c(-71.055892, 42.308848)",Dorchester,-71.055892,42.308848,210
Boston Spanish SDA Church,Places of Worship,Cell 98,NA,new,NA,humancoding_fall,"c(-71.0629862, 42.3165108)",Dorchester,-71.0629862,42.3165108,213
Boston United Pentecostal Church,Places of Worship,Cell 119,ChIJxdKxyT5444kRF74QCt9UZdA,checked,place of worship,google_api,"c(-71.163058, 42.354732)",Brighton,-71.163058,42.354732,214
Boston University Marsh Church,Places of Worship,Cell 142,NA,"new, visited",NA,humancoding_fall,"c(-71.1064744, 42.3505268)",Fenway,-71.1064744,42.3505268,215
Boston University Science Library,Community Spaces,Cell 142,ChIJow7qJPd544kR8v4i3eux4L0,checked,library,google_api,"c(-71.102257, 42.348472)",Fenway,-71.102257,42.348472,216
Boston Urban Wilds,Parks,Cell 64,ChIJFeciWiV544kRTP7zTSQuC8A,checked,park,google_api,"c(-71.133814, 42.298973)",West Roxbury,-71.133814,42.298973,217
Boston Vhinese Church of Saving Grace,Places of Worship,Cell 162,NA,new,NA,humancoding_fall,"c(-71.0669108, 42.3494327)",Bay Village,-71.0669108,42.3494327,218
